,Cause of Breach,Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Entity Address,Entity Type,Individuals Affected,Name of Entity,State Reported
403,,"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-02-27 00:00:00,,8/14/17-8/18/17 (discovered 11/2/17),,,881(in Maine,"FastHealth Corporation, 1001 23rd Ave., Suite C, Tuscaloosa, AL 35401",Maine
404,,Customer credit card information,2018-02-21 00:00:00,,"Discovered around Dec 18, 2017",,,Not specified(in Maine,"Makeup Geek, LLC",Maine
405,,Discover card account may have been compromised,2018-02-26 00:00:00,,"January, 2018",,,3(in Maine,Boulder Running Co.,Maine
406,,Discover card account may have been compromised,2018-02-26 00:00:00,,"January, 2018",,,2(in Maine,"Direct Sports, Inc.",Maine
407,,Discover card account may have been compromised,2018-02-26 00:00:00,,"January, 2018",,,2(in Maine,Makeup Certifications,Maine
408,,Discover card account may have been compromised,2018-02-26 00:00:00,,"January, 2018",,,1(in Maine,Market@work 2067379149,Maine
409,,Discover card account may have been compromised,2018-02-26 00:00:00,,"January, 2018",,,3(in Maine,The Re-Think Group,Maine
410,,Discover card account may have been compromised,2018-02-26 00:00:00,,"January, 2018",,,8(in Maine,Wet N Wild Beauty,Maine
411,,Name or other personal identifier in combination  with SSN,2018-02-26 00:00:00,,2018-01-19 00:00:00,,,1(in Maine,"California College of the Arts, 1111 Eighth Street, San Francisco, CA 94107",Maine
412,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-02-26 00:00:00,,11/8/17-1/4/18,,,1(in Maine,"Bed Bath & Beyond, Inc., 650 Liberty Avenue, Union, NJ 07083",Maine
413,,"Name, address, payment card number, expiration date and CVV code",2018-02-22 00:00:00,,"11/5-28, 2017",,,Not specified(in Maine,"Cruzstar LLC, 453 Lincoln Street, Suite 102, Carlisle, PA 17013",Maine
414,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-02-23 00:00:00,,12/13/16 - 9/25/17 (Discovered 1/25/18),,,1(in Maine,"Active Network, 717 North Harwood Street, Suite 2500, Dallas, TX 75201",Maine
415,,Name or other personal identifier in combination with SSN,2018-02-22 00:00:00,,2017-12-17 00:00:00,,,2(in Maine,"Santa Cruz Biotechnology, Inc., 10410 Finnell Street, Dallas, TX 75220",Maine
416,,Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number,2018-02-15 00:00:00,,6/27/16-12/21/17 (discovered 12/21/17),,,32(in Maine,"LendKey Technologies, Inc., 104 W 27th Street, Floor 4, NY, NY 10001",Maine
417,,"Name, address, SSN, bank account or credit card information, and health insurance information for a limited number of employees",2018-02-14 00:00:00,,Discovered 1/3/18,,,4(in Maine,Engle Martin & Associates,Maine
418,,Name or other personal identifier in combination with SSN,2018-02-14 00:00:00,,10/12/17-12/12/17,,,13(in Maine,"Norwich Commercial Group, Inc., d/b/a Norcom Mortgage (""Norcom""), 38 Security Drive, Avon, CT 06001",Maine
419,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-02-13 00:00:00,,11/21/17-12/8/17 (discovered 2/6/18),,,1(in Maine,"Bed Bath & Beyond, Inc., 650 Liberty Avenue, Union, NJ 07083",Maine
420,,"Name, phone number, OneMain loan account number, OneMain Rewards Account, and typle of insurance purchased for a OneMain loan account, if applicable",2018-02-09 00:00:00,,9/1/17-1/16/18,,,2(in Maine,OneMain Financial,Maine
421,,Name or other personal identifier in combinaiton with SSN,2018-02-09 00:00:00,,2018-01-25 00:00:00,,,68(in Maine,"Kinetics Systems, Inc., 3083 Independence Drive, Livermore, CA 94511",Maine
422,,Name or other personal identifier in combination with SSN,2018-02-08 00:00:00,,2018-01-26 00:00:00,,,2(in Maine,"Corporate Employment Resources, Inc., 27777 Franklin Road, Suite 600, Southfield, MI 48034",Maine
423,,Name or other personal identifier in combination with SSN,2018-02-08 00:00:00,,Unknown (discovered 1/18/18),,,4(in Maine,"Ameriprise Financial, Inc., 707 2nd Ave. S., Minneapolis, MN 55474",Maine
424,,Name and SSN,2018-02-07 00:00:00,,"""Recently discovered"" exact date Not specified",,,1(in Maine,"TrueNet Communications, Inc. 7666Blanding Blvd, Jacksonville, FL 32244",Maine
425,,"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-02-07 00:00:00,,"11/2016, (discovered 1/13/17)",,,1(in Maine,"Investment Professionals, Inc., 16414 San Pedro Ave., Suite 300, San Antonio TX 78232",Maine
426,,Name or other personal identifier in combination with SSN,2018-02-06 00:00:00,,2018-02-05 00:00:00,,,103(in Maine,"County of Waldo Commissioner's Office, 39B Spring Street, Belfast, Maine 04915",Maine
427,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-02-05 00:00:00,,Discovered 1/18/18,,,1(in Maine,"Blink Health, LLC, 375 W. Broadway, 2nd Floor, New York, NY 10012",Maine
428,,"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-02-05 00:00:00,,9/21/17-10/29/17,,,8(in Maine,"1st Mariner Bank, 3301 Boston Street, Baltimore, MD 21224",Maine
429,,Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number,2018-02-05 00:00:00,,2017-12-22 00:00:00,,,Approx. 130(in Maine,"PAR Electrical Contractors, Inc., 4770 N. Belleview Ave., Ste 300; Kansas City, MO 64116",Maine
430,,See original notice dated 12/22/17,2018-02-02 00:00:00,,See original notice dated 12/22/17,,,Additional 126 Maine Residents(in Maine,"TIO Networks USA, Inc. on behelf of Bank of America, PageOnce, Southern Management Corporation",Maine
431,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-02-02 00:00:00,,4/29/17-1/12/18,,,58(in Maine,"Advanced Graphic Products, Inc. d/b/a Advanced-Online, 750 Gateway Blvd, Coppell, TX 75019",Maine
432,,Name or other personal identifier in combination withy SSN,2018-02-02 00:00:00,,2018-01-24 00:00:00,,,1(in Maine,"Make-up Designory, 25311 Avenue Stanford, Valencia, CA 91355",Maine
433,,Name or other personal identifier in combination with SSN,2018-02-02 00:00:00,,3/2/17 (Discovered 8/30/17),,,1(in Maine,"The Valerie Fund, 2101 Millburn Avenue, Maplewood, NJ 07040",Maine
434,,See 12/22/17 notice,2018-02-02 00:00:00,,Supplement to 12/22/17 Notice,,,126 addit'l consumers(in Maine,"Tio Networks, 2211 N 1st St, San Jose, CA 95131 (with Bank of America, PageOnce & Southern Management Corporation)",Maine
435,,Name or other personal identifier in combination with SSN,2018-02-02 00:00:00,,2018-01-18 00:00:00,,,1(in Maine,"Eastern Salt Company, Inc., 134 Middle Street, Suite 210; Lowell, MA 01852",Maine
436,,Account numbers and SSN or Tax ID numbers,2018-02-01 00:00:00,,2017-11-30 00:00:00,,,2(in Maine,"Belmont Savings Bank, 2 Leonard Street, Belmont, MA 02478",Maine
437,,Name or other personal identifier in combination with SSN,2018-02-01 00:00:00,,10/14/17-12/8/17 (discovered 1/5/18),,,1(in Maine,"Ventiv Technology, Inc., 3350 Riverwood Parkway, 20th Floor, Atlanta, GA 30339",Maine
438,,Name and SSN,2018-01-24 00:00:00,,2017-11-26 00:00:00,,,3(in Maine,Saginaw Valley State University,Maine
439,,Name and SSN,2018-01-19 00:00:00,,Discovered 7/28/17,,,1(in Maine,Rogin Nassau LLC,Maine
440,,"Name or other personal identifier in combination with SSN & financial account number or credit or debit card number, in combination with security code, access code, password or PIN for the account",2018-01-26 00:00:00,,12/19/17-1/2/18,,,3(in Maine,"Pentair Aquatic Eco Systems, Inc., 2395 Apopka Blvd, Apopka, FL 32703",Maine
441,,See 10/31/17 notice,See 10/31/17 notice,,See 10/31/17 notice,,,Discovered one additional Maine resident(in Maine,"Southern National Bancorp of Virginia, Inc., d/b/a Sonabank, 10900 Nuckols Road, Suite 325, Glen Allen, VA 23060",Maine
442,,"Name or other personal identifier in combination with SSN & financial account number or credit or debit card number, in combination with security code, access code, password or PIN for the account",2018-01-26 00:00:00,,Discovered 10/31/17,,,2(in Maine,"Goldleaf Partners Services, Inc., 8009 34th Avenue S. Suite 320, Bloomington, MN 55425",Maine
443,,Discover Card account information,2018-01-24 00:00:00,,2017-12-01 00:00:00,,,1(in Maine,Gourmesso ,Maine
444,,"Guest name and payment card information (cardholder name, payment card number, exp date and security code)",2018-01-19 00:00:00,,5/29/16 to 1/11/17 (discovered Dec 2017),,,8(in Maine,Rosewood Hotel Group,Maine
445,,"Name, address, birthdate, SSN, financial account information & protected health information.",2018-01-19 00:00:00,,Discovered 11/21/17,,,12(in Maine,"Westminster Ingleside King Farm Presbyterian Retirement Communities, Inc.(Rockville, MD)",Maine
446,,"Demographic info, medication and clinical info, health insurance info and SSN.  Some may have had their financial account info impacted as well.",2018-01-12 00:00:00,,Discovered 11/14/17,,,135(in Maine,PharMerica Corporation,Maine
447,,Name or other pesonal identifier in combination with SSN ,2018-01-19 00:00:00,,Approx 12/28/17,,,3(in Maine,"Mindlance, Inc., 1095 Morris Ave., Suite 101A, Union, NJ 07083",Maine
448,,Name or other pesonal identifier in combination with SSN and Driver's license number or non-driver ID number,2018-01-18 00:00:00,,"September 14, 2017 and 9/18/17 (discovered 10/17/17)",,,1(in Maine,"Employer Leasing Company, 12375 Kerran Street, Poway, CA 92064",Maine
449,,"Name or other pesonal identifier in combination with SSN and  financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-01-16 00:00:00,,2017-09-18 00:00:00,,,10(in Maine,"Pension  Fund of the Christian Church, 1099 N. Meridian St., Ste 700, Indianapolis, IN 46204",Maine
450,,Name or other pesonal identifier in combination with SSN ,2018-01-16 00:00:00,,2017-10-12 00:00:00,,,23(in Maine,"Pension  Fund of the Christian Church, 1099 N. Meridian St., Ste 700, Indianapolis, IN 46204",Maine
451,,Name or other personal identifier in combination with SSN,2018-01-12 00:00:00,,2017-11-01 00:00:00,,,2(in Maine,"Monticellow Central School District, 237 Forestburgh Road, Monticellow, NY 12701",Maine
452,,"Name or other pesonal identifier in combination with SSN, Driver's license number or non-driver ID number and  financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-01-12 00:00:00,,6/9/17-10/2/17,,,557(in Maine,"Guaranteed Rate, Inc., 3940 N. Ravenswood, Chicago, IL 60613",Maine
453,,Account usernames and passwords,2017-12-22 00:00:00,,12/19/17-12/26/17,,,Unknown(in Maine,"PetSmart, Inc., 19601 N. 27th Avenue, Phoenix, AZ 85027",Maine
454,,Name or other personal identifier in combination with SSN,2018-01-10 00:00:00,,7/18/17-9/8/17,,,15(in Maine,"Broward College, 111 East Las Olas Boulevard, Fort Lauderdale, FL 33301",Maine
455,,Name or other Personal identifier in combination with SSN,2018-01-08 00:00:00,,2017-11-08 00:00:00,,,11(in Maine,"Cetera Advisors, LLC, 4600 South Syracuse Street, Suite 600, Denver, CO 80237",Maine
456,,"Name or other personal identifier in combination with SSN, and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-01-05 00:00:00,,3/2017-12/2017,,,3(in Maine,"Northeast Arc, 1 Southside Road, Danvers, MA 01923",Maine
457,,"Name or other personal identifire in combination with SSN, Driver's license number or non-driver ID number",2017-12-29 00:00:00,,2017-10-19 00:00:00,,,9(in Maine,"Mid-Atlantic Carpenters' Training Center, 8510 Pennsylvania Ave, Upper Marlboro, MD 20772",Maine
458,,"Name, SSN and tax information",2017-12-29 00:00:00,,2017-09-01 00:00:00,,,9(in Maine,"James Rinaldi, CPA",Maine
459,,Name or other personal identifier in combination with SSN,2017-12-27 00:00:00,,Unknown (discovered 10/17/16),,,3(in Maine,"Sunshine Lady Humanitarian Grants Program Inc., dba Letters Foundation, 292 Newbury Street, Suite 503, Boston, MA 02115",Maine
460,,"Name, contact information and subscriber/billing account numbers (also payment card info, bank acct info, SSN and other government ID numbers and account usernames and passwords.",2017-12-22 00:00:00,,Dating back to atleast 2014 (discovered 12/12/17),,,Estimated 336(in Maine,"Tio Networks, Return Mail Processing, P.O.Box 51484, Livonia, MI 48151-5484",Maine
461,,"User accounts, including email addresses used to log-in to TeenShieldk, PhoneSheriff and Net Orbit as well as passwords to access those accounts.",2017-12-19 00:00:00,,2/21/17 (discovered 4/27/17),,,9(in Maine,"Retina-X Studios, LLC, 731 Duval Station Road, Suite 107203, Jacksonville, FL 32218",Maine
462,,"Name or other personal identifier in combination with SSN, Driver's license number or non-driver ID number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-12-19 00:00:00,,4/2017-8/2017 (discovered 12/11/17),,,1(in Maine,"Dun & Bradstreet, Inc., 103 JFK Parkway, Short Hills, NJ 07078",Maine
463,,Name or other personal identifier in combination with SSN,2017-12-19 00:00:00,,2017-12-12 00:00:00,,,1(in Maine,"STP Nuclear Operating Company, PO Box ?, Wadsworth, TX 77483",Maine
464,,Name or other personal identifier in combination with SSN,2017-12-18 00:00:00,,1/31/17-9/19/17 (discovered 11/1/17),,,1(in Maine,"Connecticut Players Foundation, Inc., d/b/a Long Wharf Theatre, 222 Sargent Drive, New Haven, CT 06511",Maine
