"
Organization Name ","
            Date(s) of Breach          ","
Reported Date "
b'\nCiti Prepaid Services ',b'\n06/02/2013 ',b'\n            06/27/2013          '
b'\nFoundations Recovery Network ',b'\n06/15/2013 ',b'\n            06/24/2013          '
b'\nYolo Federal Credit Union ',"b'\n03/29/2013, 05/28/2013 '",b'\n            06/13/2013          '
b'\nSutter Health East Bay Region (Alta Bates Summit Medical Center; Sutter Delta Medical Center; Eden Medical Center) ',b'\n            n/a          ',b'\n            06/06/2013          '
b'\nSynerMed Inc ',b'\n04/15/2013 ',b'\n            06/06/2013          '
b'\nADP ',b'\n            n/a          ',b'\n            06/05/2013          '
b'\nMassachusetts Mutual Life Insurance Company ',b'\n05/08/2013 ',b'\n            06/04/2013          '
"b'\nRentpath, Inc., formerly knwon as Primedia, Inc. '",b'\n06/20/2012 ',b'\n            05/31/2013          '
b'\nAnasazi Hotel LLC ',b'\n06/18/2012 ',b'\n            05/30/2013          '
"b'\nTJG, Inc. d/b/a Target Marketing '",b'\n05/14/2013 ',b'\n            05/29/2013          '
b'\nShumsky Promotional Agency ',b'\n05/14/2013 ',b'\n            05/29/2013          '
"b'\nBeachbody, LLC '","b'\n03/01/2013, 04/01/2013 '",b'\n            05/28/2013          '
"b'\nGodiva Chocolatier, Inc.  '",b'\n            n/a          ',b'\n            05/28/2013          '
b'\nCalifornia Department of State Hospitals ',b'\n05/08/2013 ',b'\n            05/24/2013          '
b'\nDiscover Financial Services ',b'\n            n/a          ',b'\n            05/24/2013          '
b'\nDiscover Financial Services ',b'\n            n/a          ',b'\n            05/24/2013          '
"b'\nVendini, Inc. '",b'\n03/29/2013 ',b'\n            05/24/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n04/06/2011 ',b'\n            05/15/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n06/03/2012 ',b'\n            05/13/2013          '
b'\nPHH Corporation ',b'\n            n/a          ',b'\n            05/10/2013          '
b'\nCalifornia Department of Public Health ',b'\n            n/a          ',b'\n            05/08/2013          '
b'\nEquity Trust Company ',b'\n            n/a          ',b'\n            05/08/2013          '
b'\nTomren Wealth Management ',b'\n03/06/2013 ',b'\n            05/07/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n04/09/2013 ',b'\n            05/02/2013          '
"b'\nLivingSocial, Inc. '",b'\n04/05/2013 ',b'\n            04/26/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n12/21/2012 ',b'\n            04/25/2013          '
"b""\nWestCoast Children's Clinic """,b'\n04/16/2013 ',b'\n            04/24/2013          '
"b'\nOneWest Bank, FSB '","b'\n01/01/2011, 03/31/2011 '",b'\n            04/23/2013          '
"b'\nStanley Black & Decker, Inc. '",b'\n01/28/2013 ',b'\n            04/16/2013          '
b'\nChapman University ',b'\n02/27/2013 ',b'\n            04/11/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n01/17/2013 ',b'\n            04/04/2013          '
b'\nComputer Sciences Corporation ',b'\n            n/a          ',b'\n            04/03/2013          '
"b'\nEllison Systems, Inc. d.b.a Shoplet.com '",b'\n12/20/2012 ',b'\n            04/02/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n10/16/2012 ',b'\n            04/01/2013          '
b'\nCiti ',b'\n            n/a          ',b'\n            03/28/2013          '
"b'\nRollins, Inc. '",b'\n03/04/2013 ',b'\n            03/27/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n12/19/2012 ',b'\n            03/26/2013          '
"b'\nThe Finish Line, Inc. '",b'\n01/11/2013 ',b'\n            03/26/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            03/25/2013          '
"b'\nTLO, LLC '","b'\n08/20/2012, 01/15/2013 '",b'\n            03/22/2013          '
"b'\nOCS America, Inc. '",b'\n03/04/2013 ',b'\n            03/22/2013          '
"b'\nUnited Shore Financial Services, LLC '",b'\n12/02/2012 ',b'\n            03/19/2013          '
b'\nMassachusetts Mutual Life Insurance Company ',b'\n01/30/2013 ',b'\n            03/06/2013          '
b'\nThe Prudential Insurance Company of America ',b'\n12/13/2012 ',b'\n            03/04/2013          '
"b'\nTD Bank, N.A. '",b'\n            n/a          ',b'\n            03/04/2013          '
"b'\nFabric Depot, Inc. '",b'\n10/16/2012 ',b'\n            03/01/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            03/01/2013          '
b'\nFirst National Bank of Southern California ',b'\n02/01/2013 ',b'\n            02/28/2013          '
b'\nMercedes-Benz of Walnut Creek ',b'\n02/08/2013 ',b'\n            02/25/2013          '
b'\nCrescent Health Inc. - A Walgreen Company ',b'\n12/28/2012 ',b'\n            02/22/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and/or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n08/24/2012 ',b'\n            02/19/2013          '
b'\nCrafts Americana Group ',b'\n12/21/2012 ',b'\n            02/11/2013          '
b'\nTalk Fusion ',"b'\n10/18/2012, 10/19/2012 '",b'\n            02/08/2013          '
b'\nSchneider-Electric ',b'\n01/17/2013 ',b'\n            02/07/2013          '
b'\nThorlo ',b'\n11/14/2012 ',b'\n            02/07/2013          '
"b'\nAmerican Express Travel Related Services Company Inc and / or its Affiliates (""AXP"") '",b'\n12/30/2011 ',b'\n            02/05/2013          '
b'\nANTIOCH UNIFIED SCHOOL DISTRICT ',b'\n01/18/2013 ',b'\n            02/01/2013          '
b'\nStethoscope.com LLC ',b'\n12/03/2012 ',b'\n            01/29/2013          '
b'\nNorth Los Angeles County Regional Center ',b'\n11/10/2012 ',b'\n            01/29/2013          '
b'\nRR Donnelley ',b'\n            n/a          ',b'\n            01/28/2013          '
b'\nWilton Brands LLC ',b'\n10/08/2012 ',b'\n            01/24/2013          '
b'\nNECA/IBEW Family Medical Care Plan ',b'\n12/28/2012 ',b'\n            01/22/2013          '
"b""\nStanford School of Medicine & Lucile Packard Children's Hospital """,b'\n01/09/2013 ',b'\n            01/18/2013          '
b'\nDiscover Financial Services ',b'\n            n/a          ',b'\n            01/18/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n09/01/2012 ',b'\n            01/11/2013          '
"b'\nCalvin Schuster, M.D. '",b'\n11/04/2012 ',b'\n            01/07/2013          '
b'\nCentric Group LLC ',b'\n08/01/2010 ',b'\n            01/07/2013          '
b'\nReyes Beverage Group ',b'\n11/09/2012 ',b'\n            01/04/2013          '
"b'\nRosenthal Collins Group, LLC '",b'\n11/27/2012 ',b'\n            01/02/2013          '
"b'\nSunview Vineyards of California, Inc. '",b'\n12/15/2012 ',b'\n            12/31/2012          '
b'\nEast San Gabriel Valley Regional Occupational Program ',b'\n12/11/2012 ',b'\n            12/28/2012          '
b'\nCalif. Department of Health Care Services ',"b'\n12/10/2012, 12/18/2012 '",b'\n            12/24/2012          '
b'\nUpper Skagit Indian Tribe ',b'\n10/26/2012 ',b'\n            12/21/2012          '
b'\nJetro/Restaurant Depot ',"b'\n11/07/2012, 12/05/2012 '",b'\n            12/20/2012          '
b'\nWestern University of Health Sciences ',b'\n11/14/2012 ',b'\n            12/18/2012          '
b'\nWorld Travel Holdings ',b'\n            n/a          ',b'\n            12/17/2012          '
"b'\nLibrary Systems & Services, LLC '",b'\n10/31/2012 ',b'\n            12/17/2012          '
b'\nYolo Federal Credit Union ',"b'\n10/27/2012, 10/28/2012, 10/29/2012, 10/30/2012, 10/31/2012, 11/01/2012, 11/02/2012, 11/03/2012, 11/04/2012, 11/05/2012, 11/06/2012, 11/07/2012 '",b'\n            12/13/2012          '
b'\nMT. DIABLO UNIFIED SCHOOL DISTRICT ',b'\n12/01/2012 ',b'\n            12/12/2012          '
b'\nWilton Brands LLC ',b'\n07/19/2012 ',b'\n            12/12/2012          '
"b""\nAmerican Express Travel Related Services Company, Inc and/or it's affiliates ('AXP') """,b'\n11/01/2010 ',b'\n            12/12/2012          '
b'\nPepperdine University ',b'\n11/11/2012 ',b'\n            12/11/2012          '
"b'\nSouth Carolina Department of Revenue, c/o Jon Neiditz, Nelson Mullins Riley & Scarborough '","b'\n09/01/2012, 09/15/2012 '",b'\n            12/10/2012          '
b'\nAccume Partners ',b'\n10/31/2012 ',b'\n            12/10/2012          '
"b'\nPinkerton Government Services, Inc. '",b'\n11/15/2012 ',b'\n            12/07/2012          '
b'\nCalifornia Department of Healthcare Services ',b'\n11/05/2012 ',b'\n            12/05/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            11/30/2012          '
"b""\nWestCoast Children's Clinic """,b'\n11/20/2012 ',b'\n            11/29/2012          '
"b'\nAdvanced Data Processing, Inc. '","b'\n06/15/2012, 10/01/2012 '",b'\n            11/28/2012          '
b'\nOak River Insurance Company ',"b'\n10/01/2011, 03/31/2012 '",b'\n            11/21/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n08/03/2012 ',b'\n            11/20/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n05/21/2012 ',b'\n            11/20/2012          '
b'\nAmerican Tool Supply ',b'\n08/01/2012 ',b'\n            11/19/2012          '
b'\nNationwide Mutual Insurance Company ',b'\n10/03/2012 ',b'\n            11/16/2012          '
"b'\nSprechman & Associates, P.A. '",b'\n            n/a          ',b'\n            11/13/2012          '
"b'\nAlere Home Monitoring, Inc. '",b'\n09/23/2012 ',b'\n            11/13/2012          '
"b'\nNational Processing Company, Inc. '",b'\n            n/a          ',b'\n            11/07/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n11/06/2011 ',b'\n            11/06/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            11/02/2012          '
b'\nCalifornia Department of Corrections and Rehabilitation ',b'\n09/26/2012 ',b'\n            11/01/2012          '
b'\nHSBC Bank USA National Association ',b'\n07/27/2012 ',b'\n            10/30/2012          '
b'\nKaiser Permanente ',b'\n08/24/2012 ',b'\n            10/29/2012          '
"b'\nBarnes & Noble Booksellers, Inc. '",b'\n            n/a          ',b'\n            10/24/2012          '
b'\nPhilip P Corneliuson ',b'\n09/15/2012 ',b'\n            10/22/2012          '
b'\nL.A. Care Health Plan ',"b'\n09/17/2012, 09/18/2012, 09/19/2012, 09/20/2012 '",b'\n            10/22/2012          '
b'\nKorn/Ferry ',b'\n            n/a          ',b'\n            10/11/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            10/10/2012          '
"b'\nTD Bank, N.A. '",b'\n03/30/2012 ',b'\n            10/08/2012          '
b'\nMonterey Institute of International Studies ',b'\n09/14/2012 ',b'\n            10/04/2012          '
"b'\nApria Healthcare, Inc. '",b'\n06/14/2012 ',b'\n            09/28/2012          '
b'\nTranscend Capital LLC ',b'\n08/20/2012 ',b'\n            09/20/2012          '
b'\nSt. Therese Medical Group ',b'\n07/22/2012 ',b'\n            09/17/2012          '
b'\nCalifornia Correctional Health Care Services ',b'\n06/20/2012 ',b'\n            09/13/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n04/02/2012 ',b'\n            09/13/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n02/02/2012 ',b'\n            09/11/2012          '
b'\nLocal 2/Hospitality Industry Child & Elder Care Plan ',b'\n08/13/2012 ',b'\n            09/11/2012          '
b'\nCARMICHAEL COMPANY ',b'\n            n/a          ',b'\n            09/11/2012          '
b'\nHealing Touch Day Spa Inc./Whatgreatskin.com ',b'\n08/28/2012 ',b'\n            09/11/2012          '
b'\nNebraska State College System ',b'\n05/23/2012 ',b'\n            09/10/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n04/01/2012 ',b'\n            09/05/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            09/05/2012          '
b'\nChurchill Downs Technology Initiatives Company dba TwinSpires ',b'\n08/03/2012 ',b'\n            09/04/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n04/02/2012 ',b'\n            09/03/2012          '
b'\nThe John Stewart Company ',b'\n08/13/2012 ',b'\n            08/23/2012          '
b'\nState Farm Insurance Companies ',b'\n07/28/2012 ',b'\n            08/23/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and/or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n04/02/2012 ',b'\n            08/22/2012          '
"b'\nBellacor.com, Inc. '",b'\n07/26/2012 ',b'\n            08/21/2012          '
b'\nDiscover Financial Services ',b'\n            n/a          ',b'\n            08/17/2012          '
"b'\nApria Healthcare, Inc. '",b'\n06/14/2012 ',b'\n            08/15/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n03/02/2012 ',b'\n            08/14/2012          '
b'\nFirst Republic Bank ',b'\n08/02/2012 ',b'\n            08/14/2012          '
b'\nStanford Hospital & Clinics and School of Medicine ',b'\n07/15/2012 ',b'\n            08/10/2012          '
b'\nCalifornia Correctional Health Care Services (CCHCS) ',b'\n06/11/2012 ',b'\n            08/07/2012          '
b'\nNordstrom fsb ',b'\n06/07/2012 ',b'\n            08/07/2012          '
b'\nAmeritas LIfe Insurance Corp. ',b'\n03/22/2012 ',b'\n            08/03/2012          '
b'\nMassachusetts Mutual Life Insurance Company ',b'\n07/13/2012 ',b'\n            07/31/2012          '
b'\nComerica Bank ',b'\n            n/a          ',b'\n            07/30/2012          '
"b'\nPetco Animal Supplies, Inc. '",b'\n05/18/2012 ',b'\n            07/26/2012          '
b'\nMission Linen Supply Company ',b'\n06/29/2012 ',b'\n            07/24/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            07/20/2012          '
b'\nAmerican Pharmacists Association ',"b'\n04/23/2012, 05/28/2012 '",b'\n            07/18/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n06/26/2012 ',b'\n            07/17/2012          '
b'\nHamner Square Denta ',b'\n            n/a          ',b'\n            07/17/2012          '
b'\nRiver Arch Dental/Hamner Square Dental ',b'\n05/18/2012 ',b'\n            07/17/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            07/12/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            07/12/2012          '
b'\nScripps College ',b'\n            n/a          ',b'\n            07/12/2012          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            07/11/2012          '
b'\nGlobal Payments Inc. ',b'\n            n/a          ',b'\n            07/03/2012          '
"b'\nThePartsBin.com (U.S. Auto Parts Network, Inc.) '","b'\n04/09/2011, 06/12/2012 '",b'\n            06/29/2012          '
b'\nUniversity of Southern California ',b'\n            n/a          ',b'\n            06/29/2012          '
"b'\nGotickets, Inc. '","b'\n05/22/2012, 05/30/2012 '",b'\n            06/20/2012          '
b'\nECS Tuning ',"b'\n05/06/2012, 05/10/2012 '",b'\n            06/19/2012          '
"b'\nPostcard Press, Inc. d/b/a Next Day Flyers '",b'\n            n/a          ',b'\n            06/06/2012          '
b'\nCalifornia Department of Public Health ',b'\n05/08/2012 ',b'\n            06/05/2012          '
"b'\nInvestacorp, Inc. '",b'\n11/29/2011 ',b'\n            05/29/2012          '
"b'\nBank of America Merchant Services, LLC '","b'\n01/02/2012, 02/25/2012 '",b'\n            05/29/2012          '
b'\nFirst Republic Bank ',b'\n01/21/2012 ',b'\n            05/29/2012          '
b'\nDiscover Financial Services ',b'\n            n/a          ',b'\n            05/25/2012          '
b'\nDiscover Financial Services ',b'\n            n/a          ',b'\n            05/25/2012          '
"b'\nAltrec, Inc. '",b'\n            n/a          ',b'\n            05/24/2012          '
b'\nYolo Federal Credit Union ',"b'\n03/22/2012, 04/04/2012, 04/13/2012, 04/17/2012, 04/26/2012, 05/15/2012 '",b'\n            05/21/2012          '
"b'\nEmory Healthcare, Inc. '",b'\n02/20/2012 ',b'\n            05/16/2012          '
b'\nSt Mary Medical Center ',b'\n05/07/2012 ',b'\n            05/14/2012          '
b'\nCalifornia Department of Social Services ',b'\n            n/a          ',b'\n            05/11/2012          '
b'\nUniversity of North Carolina at Charlotte ',b'\n            n/a          ',b'\n            05/11/2012          '
b'\nFirst Data ',b'\n            n/a          ',b'\n            05/11/2012          '
b'\nCalifornia Department of Justice / CATCH ',b'\n            n/a          ',b'\n            05/11/2012          '
"b'\nIncorporating Services, Ltd. '",b'\n04/02/2012 ',b'\n            05/02/2012          '
b'\nChoice Hotels International ',b'\n            n/a          ',b'\n            04/26/2012          '
"b'\nRent-A-Center, Inc. '",b'\n04/01/2012 ',b'\n            04/25/2012          '
b'\nIndie Research LLC ',"b'\n04/03/2012, 04/07/2012 '",b'\n            04/20/2012          '
b'\nDesert AIDS Project ',b'\n04/12/2012 ',b'\n            04/20/2012          '
b'\nCigna Dental ',b'\n03/23/2012 ',b'\n            04/19/2012          '
b'\nKern Medical Center ',b'\n02/25/2012 ',b'\n            04/18/2012          '
b'\nKAISER PERMANENTE ',b'\n04/06/2012 ',b'\n            04/16/2012          '
b'\nPerry Dental ',b'\n02/16/2012 ',b'\n            04/12/2012          '
b'\nX-Rite Incorporated  ',b'\n02/06/2012 ',b'\n            04/11/2012          '
"b'\nPono Products, Inc. dba reuseit.com '",b'\n08/22/2011 ',b'\n            04/09/2012          '
b'\nUnion Bank N.A. ',b'\n01/31/2012 ',b'\n            04/05/2012          '
b'\nState Farm Insurance Companies ',b'\n            n/a          ',b'\n            04/03/2012          '
b'\nManhattan Prep ',b'\n03/25/2012 ',b'\n            04/03/2012          '
b'\nOpening Ceremony Online LLC ',b'\n02/14/2012 ',b'\n            03/30/2012          '
b'\nUnitedHealth Group health plan single affiliated covered entity ',"b'\n06/28/2011, 12/12/2011 '",b'\n            03/30/2012          '
"b'\nState of California, Department of Child Support Services '",b'\n03/12/2012 ',b'\n            03/29/2012          '
"b'\nSan Francisco Head Start, San Francisco State University '","b'\n08/01/2011, 11/30/2011 '",b'\n            03/29/2012          '
"b""\nSt. Joseph's Medical Center ""","b'\n02/02/2012, 03/16/2012 '",b'\n            03/29/2012          '
"b'\nSacramento Area Fire Fighters, Local 522 '",b'\n            n/a          ',b'\n            03/28/2012          '
"b""\nRubio's Restaurants, Inc. """,b'\n02/05/2012 ',b'\n            03/19/2012          '
b'\nKaiser Foundation Health Plan ',b'\n09/26/2011 ',b'\n            03/16/2012          '
b'\nLPL Financial ',b'\n02/06/2012 ',b'\n            02/29/2012          '
b'\nTrident University International ',b'\n11/26/2011 ',b'\n            02/22/2012          '
b'\nRJL Insurance Services ',b'\n10/01/2011 ',b'\n            02/21/2012          '
"b'\nDHI Mortgage Company, Ltd., LP '",b'\n02/10/2012 ',b'\n            02/16/2012          '
"b'\nImpairment Resouces, LLC '",b'\n12/31/2011 ',b'\n            02/09/2012          '
b'\nValve Corporation ',b'\n            n/a          ',b'\n            02/08/2012          '
"b'\nIndyMac Resources, Inc. '",b'\n            n/a          ',b'\n            02/02/2012          '
b'\nTM Acquisition LLC (d/b/a Trymedia) ',b'\n12/08/2011 ',b'\n            01/25/2012          '
b'\nRegions Financial Corporation ',b'\n            n/a          ',b'\n            01/23/2012          '
b'\nNew York State Electric & Gas (NYSEG) and Rochester Gas and Electric (RG&E) (subsidiaries of Iberdrola USA) ',b'\n01/05/2012 ',b'\n            01/23/2012          '
b'\nPacifica-Coastside Credit Union / SF Fire Credit Union ',b'\n12/29/2011 ',b'\n            01/20/2012          '
